Date,Close,Open,High,Low,Volume
01/06/2018," 14,328.90 "," 14,203.20 "," 14,429.40 "," 14,102.60 ", 25.47000 
01/08/2018," 13,232.80 "," 13,162.50 "," 13,426.40 "," 13,127.30 ", 18.78000 
01/10/2018," 14,922.10 "," 14,886.90 "," 15,115.70 "," 14,799.00 ", 18.66000 
01/11/2018," 13,936.70 "," 14,042.30 "," 14,059.90 "," 13,866.30 ", 6.14000 
02/04/2018," 14,831.70 "," 15,208.70 "," 15,233.90 "," 14,831.70 ", 23.36000 
02/05/2018," 13,675.30 "," 13,675.30 "," 13,926.70 "," 13,398.80 ", 16.09000 
02/07/2018," 13,514.40 "," 13,373.60 "," 13,549.60 "," 13,021.70 ", 17.04000 
02/08/2018," 13,109.70 "," 13,197.60 "," 13,197.60 "," 12,845.70 ", 16.63000 
02/10/2018," 14,535.00 "," 14,693.40 "," 14,799.00 "," 14,482.20 ", 29.03000 
02/11/2018," 14,077.50 "," 14,077.50 "," 14,130.30 "," 14,007.10 ", 9.84000 
03/04/2018," 14,706.00 "," 14,831.70 "," 14,957.30 "," 14,454.60 ", 24.34000 
03/05/2018," 13,650.10 "," 13,650.10 "," 13,700.40 "," 13,423.90 ", 20.41000 
03/07/2018," 12,775.30 "," 13,514.40 "," 13,655.20 "," 12,775.30 ", 15.94000 
03/08/2018," 12,775.30 "," 13,197.60 "," 13,215.20 "," 12,775.30 ", 16.29000 
03/10/2018," 14,535.00 "," 14,429.40 "," 14,640.60 "," 14,429.40 ", 13.67000 
03/12/2018," 12,247.40 "," 11,965.90 "," 12,317.80 "," 11,965.90 ", 10.32000 
03/29/2018," 15,284.10 "," 15,083.00 "," 15,384.70 "," 15,032.80 ", 14.12000 
03/30/2018," 15,183.60 "," 15,384.70 "," 15,409.80 "," 15,108.20 ", 9.88000 
04/04/2018," 14,831.70 "," 14,831.70 "," 14,907.10 "," 14,706.00 ", 11.15000 
04/05/2018," 13,574.70 "," 13,775.80 "," 13,901.50 "," 13,549.60 ", 9.96000 
04/06/2018," 15,083.00 "," 14,555.10 "," 15,083.00 "," 14,404.30 ", 21.64000 
04/07/2018," 13,056.90 "," 12,951.30 "," 13,180.10 "," 12,740.10 ", 10.32000 
04/09/2018," 13,725.60 "," 13,971.90 "," 14,042.30 "," 13,725.60 ", 12.25000 
04/10/2018," 14,570.20 "," 14,499.80 "," 14,570.20 "," 14,394.20 ", 32.60000 
04/12/2018," 12,177.00 "," 12,317.80 "," 12,388.20 "," 12,053.90 ", 11.80000 
04/13/2018," 15,384.70 "," 15,585.80 "," 15,610.90 "," 15,309.30 ", 12.55000 
04/16/2018," 15,108.20 "," 15,208.70 "," 15,334.40 "," 15,108.20 ", 8.35000 
04/17/2018," 15,007.60 "," 15,183.60 "," 15,183.60 "," 14,831.70 ", 12.91000 
04/18/2018," 14,831.70 "," 15,057.90 "," 15,133.30 "," 14,831.70 ", 10.57000 
04/19/2018," 14,328.90 "," 14,731.10 "," 14,856.80 "," 14,328.90 ", 19.62000 
04/20/2018," 14,781.40 "," 14,328.90 "," 14,781.40 "," 14,127.80 ", 12.64000 
04/23/2018," 13,976.90 "," 14,806.50 "," 14,806.50 "," 13,951.80 ", 10.82000 
04/24/2018," 14,077.50 "," 13,951.80 "," 14,303.70 "," 13,826.10 ", 14.60000 
04/26/2018," 13,449.00 "," 14,077.50 "," 14,278.60 "," 13,348.50 ", 17.83000 
04/27/2018," 13,524.50 "," 13,449.00 "," 13,574.70 "," 13,021.70 ", 19.68000 
05/04/2018," 14,781.40 "," 14,907.10 "," 14,932.20 "," 14,731.10 ", 8.01000 
05/06/2018," 14,831.70 "," 15,083.00 "," 15,133.30 "," 14,706.00 ", 23.47000 
05/07/2018," 12,704.90 "," 13,056.90 "," 13,197.60 "," 12,599.40 ", 11.63000 
05/09/2018," 13,584.80 "," 13,655.20 "," 13,813.50 "," 13,549.60 ", 12.68000 
05/10/2018," 14,587.80 "," 14,570.20 "," 14,746.20 "," 14,499.80 ", 16.56000 
05/11/2018," 14,077.50 "," 13,936.70 "," 14,077.50 "," 13,901.50 ", 6.12000 
05/12/2018," 12,423.40 "," 12,089.00 "," 12,493.80 "," 12,053.90 ", 22.15000 
05/14/2018," 14,027.20 "," 14,102.60 "," 14,152.90 "," 13,826.10 ", 10.73000 
05/15/2018," 13,926.70 "," 14,052.40 "," 14,127.80 "," 13,876.40 ", 9.52000 
05/16/2018," 13,574.70 "," 13,851.30 "," 14,127.80 "," 13,549.60 ", 12.05000 
05/17/2018," 13,323.30 "," 13,574.70 "," 13,625.00 "," 13,273.10 ", 15.78000 
05/18/2018," 13,549.60 "," 13,373.60 "," 13,549.60 "," 13,197.70 ", 14.35000 
05/21/2018," 13,373.60 "," 13,700.40 "," 13,725.60 "," 13,373.60 ", 9.07000 
05/22/2018," 12,694.90 "," 13,298.20 "," 13,323.30 "," 12,694.90 ", 24.15000 
05/23/2018," 12,996.50 "," 12,644.60 "," 13,072.00 "," 12,644.60 ", 12.62000 
05/24/2018," 13,172.50 "," 13,072.00 "," 13,172.50 "," 12,971.40 ", 13.99000 
05/25/2018," 13,097.10 "," 13,172.50 "," 13,398.80 "," 13,021.70 ", 20.50000 
05/28/2018," 12,242.40 "," 12,720.00 "," 13,072.00 "," 12,242.40 ", 20.34000 
05/29/2018," 13,072.00 "," 12,242.40 "," 13,097.10 "," 12,242.40 ", 19.10000 
05/30/2018," 13,273.10 "," 13,097.10 "," 13,423.90 "," 12,795.40 ", 24.16000 
05/31/2018," 14,102.60 "," 13,298.20 "," 14,102.60 "," 13,273.10 ", 35.39000 
06/04/2018," 15,183.60 "," 14,756.20 "," 15,183.60 "," 14,706.00 ", 18.78000 
06/06/2018," 15,284.10 "," 14,881.90 "," 15,334.40 "," 14,706.00 ", 23.24000 
06/07/2018," 12,951.30 "," 12,687.30 "," 13,303.20 "," 12,388.20 ", 14.45000 
